egp_id,content,category,level,chinese_human_name,examples,trigger_lemmas,chinese_doc,core_rules,keywords,common_errors
GG-A2-001,"Guideword: FORM/USE: 'LOOK FORWARD TO'. CanDo: Can use 'look forward to' as a fixed expression followed by an '-ing' form or noun phrase, usually at the end of correspondence.",SuperCategory: VERBS. SubCategory: phrasal-prepositional,A2,固定表达：look forward to 的用法,I'm looking forward to seeing you!、I look forward to hearing from you.、I am looking forward to our meeting.,look forward to、looking forward to、forward to,,,"固定表达,look forward to,动名词,介词 to,书信用语",
GG-A2-002,"Guideword: FORM: REPORTING VERBS + DIRECT OBJECT 'THAT'-CLAUSE. CanDo: Can use a limited range of verbs, typically reporting, with a 'that'-clause as the direct object.",SuperCategory: VERBS. SubCategory: patterns_that clauses,A2,报告动词+that从句作宾语：基础表达结构,I hope that you'll come.、I think that it begins on 20 or 21 May.、My mother said that she can help us.、I heard that you are quite busy right now.,think that、hope that、say that、hear that,,,"报告动词,that从句,直接宾语,句型结构,省略that",
GG-A2-003,"Guideword: FORM: VERBS + INDIRECT OBJECT CLAUSE. CanDo: Can use verbs, typically reporting verbs, followed by a noun or pronoun as the indirect object and a clause with or without 'that', as the direct object.",SuperCategory: VERBS. SubCategory: patterns_that clauses,A2,动词+间接宾语从句：报告动词的间接引语结构,I told you that she has a new car?、You promised me that you will help me to paint my bedroom.、Nisha told me you had an accident last week.,tell、promise、inform、assure、remind,,,"报告动词,间接宾语,宾语从句,that省略,时态一致",
GG-A2-004,"Guideword: FORM: VERBS + DIRECT OBJECT CLAUSE WITHOUT 'THAT'. CanDo: Can use reporting verbs, especially mental process verbs, with a clause as the direct object, without 'that', especially in informal contexts.",SuperCategory: VERBS. SubCategory: patterns_that clauses,A2,动词+宾语从句（省略that）：非正式语境中的报告动词用法,"I hope you can go, buddy.、I think I left my phone there, maybe in your kitchen.、I think you should go visit the Kuala Lumpur Twin Towers.、I know it's impossible for you to come during examination time.、My mother said you can come to me at 6.30 pm.",i think、i hope、i know、said,,,"宾语从句,报告动词,心理过程动词,非正式语境,that省略",
GG-A2-005,Guideword: FORM: NO OBJECT. CanDo: Can use a limited range of phrasal verbs without an object.,SuperCategory: VERBS. SubCategory: phrasal,A2,"无宾语短语动词：get up, go out, meet up等","I'm going to get up early on Saturday.、Shall we go out this weekend to a concert?、We can meet up at 2 pm.、If you have time, you can come over and I will introduce you to my friends.、Every day I can see the sea when I wake up.",get up、go out、meet up、come over、wake up,,,"短语动词,无宾语,小品词,固定搭配,日常动作",
GG-A2-006,Guideword: FORM: VERB + PRONOUN + PARTICLE. CanDo: Can use a limited range of phrasal verbs + object pronoun + particle.,SuperCategory: VERBS. SubCategory: phrasal,A2,三词短语动词：动词+代词宾语+小品词,"I will pick you up and arrange everything.、Ring me up or send me an email if you have any questions.、You may need to throw it away, it'll be too dirty after painting.、Could you come here by nine o'clock to help me out?",pick up、help out、throw away、ring up,,,"短语动词,代词宾语,小品词,三词结构,词序规则",
GG-A2-007,Guideword: FORM: MODAL AUXILIARY VERBS. CanDo: Can use an increasing range of modal auxiliary verbs.,SuperCategory: VERBS. SubCategory: types,A2,"情态助动词：should, might等的基本用法",And I think we should go somewhere else to have a drink after the film.、Please wear some of your old and torn clothes because they might get dirty.,should go、might get、think we should,,,"情态助动词,should,might,动词原形,可能性",
GG-A2-008,Guideword: FORM: LINKING VERBS + ADJECTIVE. CanDo: Can use linking verbs with adjective complements.,SuperCategory: VERBS. SubCategory: types,A2,系动词+形容词：描述状态与感受,It makes me feel comfortable and the room looks bigger with the colour.、My bedroom will be blue because the colour blue always looks fresh and I like it if it's always fresh.,look、feel、be、seem,,,"系动词,形容词,补语,状态描述,look fresh",
GG-A2-009,Guideword: FORM: AUXILIARY VERBS 'HAVE' AND 'DO'. CanDo: Can use auxiliary verbs 'have' and 'do'.,SuperCategory: VERBS. SubCategory: types,A2,助动词 'have' 和 'do' 的基本用法,"It has been a long time since I saw you.、I have left my suitcase in your house.、Have you got a mobile phone?、I haven't emailed you in a long time.、[responding to a question] Yes, I do. I am really excited about the idea.、Do you like shopping?、Did you buy a new mobile phone?、I thought that I wouldn't find nice clothes for me, but surprisingly, I did.、Why didn't you come to my birthday party?",have been、have got、do not、have left,,,"助动词,现在完成时,疑问句,否定句,have got",
GG-A2-010,"Guideword: FORM: SEMI-MODAL AUXILIARY VERBS, 'HAVE (GOT) TO'. CanDo: Can use semi-modal auxiliary verb 'have (got) to'.",SuperCategory: VERBS. SubCategory: types,A2,半情态助动词：have (got) to 的用法,"You've got to bring paintbrushes, paper and paint, that's all.、You don't have to bring anything except your clothes.",have to、have got to、don't have to、has to,,,"半情态助动词,have to,have got to,义务,必要性",
