egp_id,content,category,level,chinese_human_name,examples,trigger_lemmas,chinese_doc,core_rules,keywords,common_errors
GG-C2-001,Guideword: FORM: VERB + DIRECT OBJECT + PARTICLE + PREPOSITION + OBJECT. CanDo: Can use a direct object with some prepositional verbs as well as an object of the preposition.,SuperCategory: VERBS. SubCategory: phrasal-prepositional,C2,三词短语动词：动词+直接宾语+小品词+介词+介词宾语,It is widely accepted that being a loyal and trusted individual means that the people around us can trust us or let us in on a secret.,let in on、trust with、remind of、accuse of,,,"三词短语动词,直接宾语,小品词,介词宾语,固定搭配",
GG-C2-002,"Guideword: FORM/USE: 'WOULD HATE' + 'TO'. CanDo: Can use 'would hate' + 'to' infinitive, for emphasis.",SuperCategory: VERBS. SubCategory: patterns_with to and -ing,C2,情态动词短语：would hate + to不定式（强调用法）,We in the student committee would hate to see all that space go to waste.、I am very much aware of my parents’ mistakes and would hate to make the same ones.,would hate to、would hate to see、would hate to make、would hate to think,,,"would hate,to不定式,强调用法,情态动词短语,情感表达",
GG-C2-003,Guideword: FORM: ELLIPSIS. CanDo: Can form alternative questions with two or more clauses and ellipsis in the second or third clause.,SuperCategory: QUESTIONS. SubCategory: alternatives,C2,选择疑问句：多从句省略结构,"Is it not better to take the television away or stop them going to the cinema?、Do you enjoy reading, find it a waste of time or have an indifferent attitude to it?、Is he going to give it back to me or show it to everybody?",or、is it、do you、should we,,,"选择疑问句,省略结构,多从句,连接词or,高级语法",
GG-C2-004,"Guideword: FORM/USE: NEGATIVE QUESTIONS WITH 'NOT', EMPHASIS. CanDo: Can form negative questions with uncontracted 'not' to emphasise a point in an argument.",SuperCategory: QUESTIONS. SubCategory: yes/no,C2,否定疑问句：使用未缩写的'not'进行强调,"Do we not want our children to be as happy as possible?、Is it not too easy to put the blame systematically on our education?、Is it not possible to have this, though maybe on a smaller scale, in our everyday living right where we spend the majority of our time on earth?、Are they not aware of the negative effects the use of cars has on cities?、Can it not, sometimes, be harmful to the world?",do not、is not、are not、can not,,,"否定疑问句,未缩写的not,强调,辩论,正式语境",
GG-C2-005,"Guideword: FORM/USE: WITH 'THAT … OF'. CanDo: Can use 'that … of' + possessive pronouns to express an attitude about someone or something, often in humorous or sarcastic contexts.",SuperCategory: PRONOUNS. SubCategory: possessive,C2,表达态度结构：that ... of + 物主代词,"I could just imagine it, meeting her at her house, her mother asking me to take care of her between puffs of smoke and coughing fits in that hoarse voice of hers.、I kept silent when I was introduced to that new girlfriend of his.、You can park that precious jeep of yours.、I've been looking all over for that bright great-nephew of mine.",that ... of、of mine、of yours、of his、of hers,,,"that ... of 结构,物主代词,态度表达,幽默语气,讽刺表达",
GG-C2-006,"Guideword: FORM: 'HIS'. CanDo: Can use the possessive pronoun 'his', with singular and plural reference, in subject and object position, and complement positions after 'be' and after prepositions.",SuperCategory: PRONOUNS. SubCategory: possessive,C2,物主代词'his'的全面用法：单复数指代与多位置应用,"Therefore, his was not a happy and normal childhood.、He was my confidant and I was his.、It was as if she had completely forgotten about the outlines of his face, his hair, all the features that were his.、Bob attracts many of his students to the teaching career, which is rather looked down on in a developing poor country like his.",be his、of his、to his、his instead,,,"物主代词,所有格,单数指代,复数指代,语法位置",
GG-C2-007,"Guideword: FORM: 'THEIRS' AS SUBJECT. CanDo: Can use the possessive pronoun 'theirs', with singular and plural reference, in subject position.",SuperCategory: PRONOUNS. SubCategory: possessive,C2,物主代词'theirs'作主语：单复数指代与用法详解,"Theirs is a relationship between two members of the privileged classes, who really don't care about the world around (or below) them.、Theirs had always been a love-and-hate relationship.、Yet, beautiful dreams never last long, and theirs lasted until she had to leave England.、When comparing the value and achievements of athletes with doctors or scientists, theirs begin to lack in significance.",theirs is、theirs are、theirs was、theirs were,,,"物主代词,theirs,主语位置,单复数指代,所有权",
GG-C2-008,"Guideword: FORM: 'HERS' AS SUBJECT. CanDo: Can use the possessive pronoun 'hers' with singular reference, in subject position.",SuperCategory: PRONOUNS. SubCategory: possessive,C2,物主代词'hers'作主语：单数指代与主语位置用法,"I put Sophie's pictures in my bag because hers was already packed.、[talking about gazpacho, a type of soup] I also recall my father saying to my mother that hers was not as good as my grandmother's.、She thought, as she sometimes did, that hers was a drab existence, but that she could do hardly anything to avoid it.",hers was、hers is、because hers、that hers,,,"物主代词,hers,主语位置,单数指代,替代功能",
GG-C2-009,"Guideword: FORM: OF 'THEIRS', 'HERS', 'HIS'. CanDo: Can use the possessive pronouns 'hers', 'theirs' and 'his' after noun + 'of'.",SuperCategory: PRONOUNS. SubCategory: possessive,C2,名词+of+物主代词：hers/theirs/his的用法,"I was a great admirer of hers.、She asked some old friends of hers and she went to the church where the marriage was taking place.、My parents invited the father of a friend of theirs who spoke French.、Then he showed me a very old diary of his, just for me to have an idea of what to do.、He was able to build a very successful business which allowed him and his family to live very well and to travel (a passion of his).",a friend of、an admirer of、a passion of,,,"物主代词,hers,theirs,his,名词+of结构",
GG-C2-010,Guideword: USE: DISCOURSE MARKERS. CanDo: Can use 'as for myself' as a discourse marker to introduce or focus on a personal opinion.,SuperCategory: PRONOUNS. SubCategory: reflexive,C2,话语标记语：as for myself 用于引出个人观点,"As for myself, as you can clearly see from my account of this musical event, music still means an awful lot to me, and most probably allways will.、As for myself I like taking responsibilities.、As for myself, I grew up during the ""internet era"", the years when it was spreading to average peoples homes and therefore I can still remember life without it.",as for myself、discourse marker、personal opinion,,,"话语标记语,个人观点,焦点强调,正式场合,对比表达",
GG-C2-011,Guideword: FORM: (SUBJECT) CLEFT CONSTRUCTIONS WITH 'IT'. CanDo: Can form a cleft construction beginning with 'it' to emphasise the subject of the main clause. ► clauses,SuperCategory: PRONOUNS. SubCategory: subject/ object,C2,强调主语的it分裂句结构,It was my father who took all this away from me.,it was、it is、who、that,,,"it分裂句,强调结构,主语强调,关系代词,焦点信息",
GG-C2-012,Guideword: FORM: 'A LOT' AND 'MUCH'. CanDo: Can use 'a lot' and 'much' as a subject pronouns. ► focus,SuperCategory: PRONOUNS. SubCategory: quantity,C2,数量代词作主语：'a lot'与'much'的用法,"A lot has changed since prehistoric times.、A lot depends on your background.、Much has been said about the need for nuclear weapons, although after the end of USSR and consequently the end of the cold war, this topic was almost forgotten.、Much has been said about quality time, but children don't understand this concept, they only know whether you are there or you are not.",a lot、much、has changed、depends on、has been said,,,"数量代词,主语,a lot,much,谓语动词单数",
GG-C2-013,"Guideword: FORM/USE: 'MANY ARE THE' + NOUN, FOR FOCUS. CanDo: Can form complex noun phrases using an inverted form 'Many' + 'are' + noun phrase, followed by a relative clause, as a focusing device.  ► focus",SuperCategory: PRONOUNS. SubCategory: quantity,C2,倒装强调结构：'Many are the' + 名词短语,"Many are the causes which have led us to a better and longer life.、Many are the examples of children who hate reading as they believe that it is pointless, but they are not able to judge from a young age.",many are the、reasons why、examples of、people who,,,"倒装结构,强调数量,正式写作,关系从句,复数名词",
