egp_id,content,category,level,chinese_human_name,examples,trigger_lemmas,chinese_doc,core_rules,keywords,common_errors
GG-B2-001,Guideword: FORM: VERB + PARTICLE + PREPOSITION + OBJECT. CanDo: Can use an increasing range of verb + particle + preposition + noun or pronoun.,SuperCategory: VERBS. SubCategory: phrasal-prepositional,B2,三词短语动词：动词+小品词+介词结构（如look up to）,"I can look up to someone in admiration if he (or she) is dedicating his (or her) life to helping other people.、Other people will see you as a knowledgeable person and they will look up to you.、You should face up to the problem and tell everybody the truth, that you are working too hard.、We couldn't just swim and eat ice-cream every day of our summer vacation, so we sat down and came up with the craziest idea ever.",look up to、come up with、face up to,,,"三词短语动词,动词+小品词+介词,固定搭配,宾语位置,词序固定",
GG-B2-002,Guideword: FORM: VERB + ADVERB + PREPOSITION. CanDo: Can use an adverb between the verb and the preposition.,SuperCategory: VERBS. SubCategory: prepositional,B2,动词与介词短语的副词插入结构：VERB + ADVERB + PREPOSITION,I am really willing to know more about horses and to learn how to deal properly with them.、I hope you will look carefully at the enclosed papers and I'm looking forward to hearing from you soon.,look at、deal with、listen to、think about,,,"动词,副词,介词,短语动词,固定搭配",
GG-B2-003,"Guideword: FORM: PREPOSITIONAL VERB, STRANDED PREPOSITION. CanDo: Can use verb + preposition, where the preposition is separated from its complement.",SuperCategory: VERBS. SubCategory: prepositional,B2,介词动词与悬垂介词：动词+介词分离结构,"In Poland rules that refer to how to dress at school aren't very strict; we don't wear any uniforms, but our clothes have to be clean and nice to look at.、But there is one difficulty which we should deal with.、I would like to give you some ideas of what people in my community want to listen to.",look at、deal with、listen to、talk about,,,"介词动词,悬垂介词,固定搭配,关系代词,疑问词",
GG-B2-004,Guideword: FORM: NO OBJECT. CanDo: Can use a wide range of phrasal verbs without an object.,SuperCategory: VERBS. SubCategory: phrasal,B2,"无宾语短语动词：die out, show up, end up等","Some species are dying out, and keeping such animals in zoos where they can give life to new generations is the only way to prevent them from becoming completely extinct.、The following day my grandpa didn’t show up.、If you are not good enough at reading, you'll end up wasting your time.",die out、show up、end up、calm down、break out,,,"短语动词,无宾语,小品词,固定搭配,不及物用法",
GG-B2-005,Guideword: FORM: VERB + NOUN + PARTICLE. CanDo: Can use phrasal verbs + nouns as object + particle.,SuperCategory: VERBS. SubCategory: phrasal,B2,三词短语动词：动词+名词+小品词结构,"I am glad that you have decided to take some time off and more glad because you are going to the U.S.、Another way is also to turn the computers off in the evenings.、It was necessary to call the electrician up.、If we can make these improvements, we might be able to work this problem out.",take off、turn off、call up、work out,,,"短语动词,小品词,宾语位置,固定搭配,及物动词",
GG-B2-006,Guideword: FORM: VERB + PARTICLE + OBJECT. CanDo: Can use a wide range of phrasal verbs + particle + object.,SuperCategory: VERBS. SubCategory: phrasal,B2,三词短语动词：动词+小品词+宾语结构,"I don't need to use my imagination while I'm surfing the internet, but if I'm reading a book I can build up the whole surroundings and the characters in my own head.、I had already booked my seat on the ferry-boat to Athens and I couldn't put off my crossing.、I can surf the internet and look up some useful information.、The concert finished very late and after the concert I had to clean up the hall.",build up、put off、look up、clean up,,,"短语动词,小品词,宾语,固定搭配,词序",
GG-B2-007,"Guideword: FORM: SEMI-MODAL AUXILIARY VERBS, 'DARE', 'NEED'. CanDo: Can use semi-modal auxiliary verbs, 'dare' and 'need'.",SuperCategory: VERBS. SubCategory: types,B2,半情态助动词：dare与need的用法,You needn't worry about where we can stay.、I think that they are rather jealous because they daren't give up their car.,daren't、needn't、how dare、if need be,,,"半情态助动词,dare,need,动词原形,否定形式",
GG-B2-008,Guideword: FORM: VERB + NEW SUBJECT + '-ING' FORM. CanDo: Can introduce a new subject before the '-ing' form (using noun or object pronoun).,SuperCategory: VERBS. SubCategory: patterns_with to and -ing,B2,动词后接新主语加-ing形式：mind/stand/imagine等动词的特殊用法,"If your boss doesn't mind you delaying, it could be a possible solution.、I could not stand people shouting at me, or taking pictures of me all day. It would be horrible.、Oh just one more thing: would you mind me staying in your flat again?、We imagine it being a frozen land, where the people are ‘frozen’ too - both 'inside' and 'outside'.",mind、stand、imagine,,,"新主语,-ing形式,宾格代词,mind,stand,imagine",
GG-B2-009,"Guideword: FORM: 'TO'-INFINITIVE OR '-ING' FORM, MEANING. CanDo: Can follow some verbs with a 'to'-infinitive or an '-ing' form, with a change in meaning.",SuperCategory: VERBS. SubCategory: patterns_with to and -ing,B2,动词后接to不定式或-ing形式的用法区别,"He said if you need to change the time, remember to contact him to make a new appointment.、I know it is difficult to get by with such a low salary but I am sure you have not stopped to think twice about your life.、I remember feeling very unhappy and confused all day long.、After I had a baby, I needed to stop working.",remember to、stop doing、try to、forget to、regret doing,,,"to不定式,-ing形式,动词搭配,意义变化,remember to do,stop doing",
GG-B2-010,Guideword: FORM: VERB + '-ING' FORM. CanDo: Can use an increasing range of verbs followed by an '-ing' form.,SuperCategory: VERBS. SubCategory: patterns_with to and -ing,B2,动词后接-ing形式：常见搭配与用法,"[talking about cars] ... we can't avoid using them because we are used to them.、I couldn't stand being there.、Moreover we may consider offering bonus schemes, to increase the staff's loyalty to our company.",avoid、consider、suggest,,,"动词后接-ing,动名词,现在分词,情感表达,习惯描述",
